id,corpus,sentence,token,complexity,biomedical,bible,subtitles,wiki,familarity
3ZLW647WALVGE8EBR50EGUBPU4P32A,bible,behold came river seven cattle sleek fat fed marsh grass,river,0.0,1,0,0,0,0
34R0BODSP1ZBN3DVY8J8XSIY551E5C,bible,fellow bondservant brother prophet keep word book,brother,0.0,1,0,0,0,0
3S1WOPCJFGTJU2SGNAN2Y213N6WJE3,bible,man lord land said u know honest men leave one brother take grain famine house go way,brother,0.04999999999999999,1,0,0,0,0
3BFNCI9LYKQN09BHXHH9CLSX5KP738,bible,shimei sixteen son six daughter brother didnt many child neither family multiply like child judah,brother,0.15000000000000002,1,0,0,0,0
3G5RUKN2EC3YIWSKUXZ8ZVH95R49N2,bible,put brother far,brother,0.26388888888888884,1,0,0,0,0
3ZRKL6Z1E83ADJ7XGZM4Q6D2W5IGSR,bible,therefore urge brother mercy god present body living sacrifice holy acceptable god spiritual service,brother,0.2647058823529411,1,0,0,0,0
3ZRKL6Z1E83ADJ7XGZM4Q6D2W3SSG9,bible,rehoboam loved maacah daughter absalom wife concubine took eighteen wife sixty concubine became father twentyeight son sixty daughter,son,0.0,1,0,0,0,0
34O39PNDK682LNZ9LOULZLH9UQDRB3,bible,brought king son put crown gave testimony made king jehoiada son anointed said long live king,son,0.05555555555555558,1,0,0,0,0
3KTCJ4SCVG1AB94PEJ5F7AAQ2RNM1R,bible,moreover yahweh deliver israel also hand philistine tomorrow son,son,0.1607142857142857,1,0,0,0,0
31J7RYECZLQQ5RM4E7407XV12K1L1O,bible,son perez hezron hamul,son,0.1607142857142857,1,0,0,0,0
38DCH97KHH28R5ILW1I2SJQH69EQJG,bible,son kohath gave none service sanctuary belonged carried shoulder,son,0.171875,1,0,0,0,0
3Q7TKIAPOTAKXM2GU0OV8ZWARH4LDE,bible,day year seventy even reason strength eighty year yet pride labor sorrow pass quickly fly away,day,0.0,0,0,0,0,0
3K3IX1W4S6RCQ0E22IQ0ZFXOBQZAPU,bible,six day shall gather seventh day sabbath,day,0.1805555555555556,0,0,0,0,0
3511RHPADVEEYWLLC1JFDODE6I9RL4,bible,seven day shall eat unleavened bread commanded time appointed month abib month abib came egypt,day,0.25,0,0,0,0,0
33NKDW9FFXI5SODR8NW8ZN9FDQSXC2,bible,david said saul servant keeping father sheep lion bear came took lamb flock,lion,0.0,1,0,1,0,0
31J7RYECZLQQ5RM4E7407XV12MSL1J,bible,sword devoured prophet like destroying lion,lion,0.21875,1,0,1,0,0
3087LXLJ6MG4YARQWDX2YF770WSF0T,bible,water dimon full blood bring yet dimon lion moab escape remnant land,lion,0.28125,1,0,1,0,0
3MQKOF1EE2O08GEFYEVXHADQPORWD1,bible,king wrath like roaring lion favor like dew grass,lion,0.3157894736842105,1,0,1,0,0
3TCFMTM8HEOK450W41MVS1WSWM721H,bible,mount sinai smoked yahweh descended fire smoke ascended like smoke furnace whole mountain quaked greatly,fire,0.0,1,0,0,0,0
3ZG552ORAM40QHGUBF6KZP38LOI2V6,bible,shall go forth look dead body men transgressed worm shall die neither shall fire quenched loathsome mankind,fire,0.05555555555555558,1,0,0,0,0
3PKVGQTFIHKYYVSKVG857WFAFZPRYC,bible,shall taken curse captive judah babylon saying yahweh make like zedekiah like ahab king babylon roasted fire,fire,0.125,1,0,0,0,0
3Y3CZJSZ9KT0W7I0KE38WZHHKUM5RB,bible,cowardly unbelieving sinner abominable murderer sexually immoral sorcerer idolater liar part lake burn fire sulfur second death,fire,0.13333333333333336,1,0,0,0,0
3MNJFORX8B43THDRTJ3EFA3YH43F5E,bible,yes gather blow fire wrath shall melted midst,fire,0.3035714285714286,1,0,0,0,0
3P4C70TRMRHN96C7WQP3EKZ749KLGO,bible,despised rejected men man suffering acquainted disease,disease,0.125,0,1,1,0,0
3UEBBGULPFOKEW36UKBMNMVEGN9UFS,bible,happy everyone retains,everyone,0.0,1,1,0,0,0
3DFYDSXB2W00JYP2DA272KN69UQJUK,bible,everyone exalts humbled whoever humbles exalted,everyone,0.16666666666666669,1,1,0,0,0
3XABXM4AJ15J7OM25XLB3TH3QWUQ82,bible,yet leave seven thousand israel knee bowed baal every mouth kissed,knee,0.0,1,1,1,0,0
3DWNFENNE3V120VNY4BPPGPCAH2J4X,bible,speech charming dont believe seven abomination heart,speech,0.0,1,0,1,0,0
32LAQ1JNT9PUX1L7P4GB4QAF7WBUTU,bible,moses said yahweh lord eloquent neither since spoken servant slow speech slow tongue,speech,0.1607142857142857,1,0,1,0,0
375VSR8FVW9Y3L2PR2AOL3OCLR3ZRH,bible,speech like scorching fire,speech,0.2794117647058824,1,0,1,0,0
38RHULDV9YFHGRU1QSW887T3HVCWIK,bible,baptized name paul,name,0.0,1,0,0,0,0
32FESTC2NHQDBKJW3ILLFGABJABUCB,bible,receives prophet name prophet receive prophet reward,name,0.04999999999999999,1,0,0,0,0
3APP19WN71E5QL909MJ1P1HAEGM6GW,bible,made house holy built put name forever eye heart shall perpetually,name,0.1607142857142857,1,0,0,0,0
3I01FDIL6M8EW0G8KU6QT3X1LJ42D1,bible,another come name receive,name,0.1764705882352941,1,0,0,0,0
3ROUCZ907FUJ74W2X1I3BAC3Q2COOV,bible,build room heaven founded vault earth call water sea pours surface earth yahweh name,name,0.2083333333333333,1,0,0,0,0
3YZ7A3YHR5TCXMIDZ33DM9MD6WAS5R,bible,father judge one given judgment son,father,0.0,1,0,0,0,0
3KL228NDMVMCP0UPBQD2ZKMSF95KGA,bible,jesus said father forgive dont know,father,0.13333333333333336,1,0,0,0,0
3OND0WXMHWFN3WXQZAKHMPLOAEMEHN,bible,grace peace god father lord jesus christ,father,0.2222222222222222,1,0,0,0,0
3WJGKMRWVI9RUI8AHNVW5G6NXAMCDP,bible,water surrounded even soul,water,0.025000000000000026,0,0,0,0,0
3YD0MU1NC21NKUA26WWJZT63BWTA7N,bible,thus say lord yahweh shall make desolate city like city inhabited shall bring deep great water shall cover,water,0.09999999999999998,0,0,0,0,0
33TGB4G0LPHME5F2U9RYOX9J1CLTXA,bible,dont let flood water overwhelm neither let deep swallow,water,0.16666666666666669,0,0,0,0,0
39WICJI5ATS6KJHNGC9S35LWFFDZ37,bible,time broken sea depth water merchandise company fell midst,water,0.2352941176470588,0,0,0,0,0
39N6W9XWRDN795J6F5ET8S13DQKGYB,bible,hezekiah also stopped upper spring water gihon brought straight west side city david,water,0.265625,0,0,0,0,0
3UQ1LLR26A8MZFZ4AQXTIYO46E7LAC,bible,sighed deeply spirit said generation seek sign,sign,0.109375,1,0,0,0,0
324N5FAHSXBV7XKK0LCOZLP22QTVKE,bible,priest shall lay order wood fire altar,wood,0.025000000000000026,1,0,1,0,0
30UZJB2POHC8D5XY9O2CE1E1EEU53R,bible,yahweh bring king shall set nation known father shall serve god wood stone,wood,0.11764705882352945,1,0,1,0,0
3VLL1PIENQOV68A9ZATKR8J7A69ZO2,bible,whatever fall dead shall unclean whether vessel wood clothing skin sack whatever vessel work done must put water shall unclean evening clean,wood,0.1607142857142857,1,0,1,0,0
