id,corpus,sentence,token,complexity,biomedical,bible,subtitles,wiki,familarity
3S37Y8CWI80N8KVM53U4E6JKCDC4WE,bible,seventh day sabbath yahweh god shall work son daughter male servant female servant ox donkey livestock stranger within gate male servant female servant may rest well,seventh day,0.02777777777777779,1,0,1,0,297.5
3WGCNLZJKF877FYC1Q6COKNWTDWD11,bible,let man test own work take pride neighbor,own work,0.04999999999999999,1,1,1,1,600.5
3UOMW19E6D6WQ5TH2HDD74IVKTP5CB,bible,understanding made heaven loving kindness endures forever,loving kindness,0.04999999999999999,1,1,1,1,566.5
36JW4WBR06KF9AXMUL4N476OMF8FHD,bible,remember god also spare according greatness loving kindness,loving kindness,0.04999999999999999,1,1,1,1,566.5
3HRWUH63QU2FH9Q8R7MRNFC7JX2N5A,bible,loving kindness better life lip shall praise,loving kindness,0.07500000000000001,1,1,1,1,566.5
3TRB893CSJAOULN5SWOTVFH69RC7G2,bible,led people wilderness loving kindness endures forever,loving kindness,0.18333333333333332,1,1,1,1,566.5
3JUDR1D0D6R8L9KDPGCAT2404YYQ2Z,bible,yahweh take pleasure fear hope loving kindness,loving kindness,0.2333333333333333,1,1,1,1,566.5
3RHLQY6EDT4OZEVVO8PEMIUZ5X6D4E,bible,jahath chief zizah second jeush beriah didnt many son therefore became father house one reckoning,many son,0.04999999999999999,1,0,0,0,603.0
32XN26MTXZJQY21MIO00TSCRXUS0L1,bible,see hear ephesus alone almost throughout asia paul persuaded turned away many people saying god made hand,many people,0.04999999999999999,1,0,0,0,613.5
3T8DUCXY0N6WD9X4RTLK8UN1UB89TP,bible,child israel returned every man possession own city,own city,0.05555555555555558,1,1,1,1,607.0
3WJGKMRWVI9RUI8AHNVW5G6NXANDCR,bible,next day agrippa bernice come great pomp entered place hearing commanding officer principal men city command festus paul brought,next day,0.07500000000000001,1,0,0,0,571.5
3P4ZBJFX2V3X60SBPKQN5AGB13KFWC,bible,happened six hundred first year first month first day month water dried earth,first month,0.07500000000000001,1,0,0,0,594.0
3YO4AH2FPDK1PZHZAT8WAEBL70F0QQ,bible,consider palace may tell next generation,next generation,0.07500000000000001,1,0,1,0,534.0
3ZXNP4Z39RL4GD163NL987ME58Y7L8,bible,yahweh said take large tablet write man pen maher shalal hash baz,large tablet,0.07500000000000001,1,1,1,0,317.0
3VMHWJRYHVGCV0X1ZPM97TUIA5QXFN,bible,send away may go surrounding country village buy bread nothing eat,surrounding country,0.08333333333333331,1,1,1,0,296.0
38VTL6WC4AD9T8UMY9V24VAENH6Y5B,bible,yahweh said abraham sarah laugh saying really bear child yet old,sarah laugh,0.09999999999999998,1,1,1,0,297.0
3ODOP6T3ASK1W4XFRJ5XQZ3V86G42V,bible,spread couch carpet tapestry striped cloth yarn egypt,striped cloth,0.09999999999999998,1,1,1,1,280.5
38Z7YZ2SB32CWUYFEJX2GIBHTUVIQ2,bible,indeed few day punished u seemed good profit may partaker holiness,few day,0.1111111111111111,1,1,1,1,594.0
3J5XXLQDHMBPBZCDFFKPIZ80R4D3VH,bible,set levite house yahweh cymbal stringed instrument harp according commandment david gad king seer nathan prophet commandment yahweh prophet,stringed instrument,0.1111111111111111,1,1,1,1,276.5
37Y5RYYI0P5LZ52N59M8ESDXZVKXS6,bible,came jerusalem stringed instrument harp trumpet house yahweh,stringed instrument,0.18333333333333332,1,1,1,1,276.5
38RHULDV9YFHGRU1QSW887T3HVCIW6,bible,stringed instrument,stringed instrument,0.25,1,1,1,1,276.5
304QEQWKZPKY4N4JVGGSL9GLSZX0OI,bible,chief musician stringed instrument,stringed instrument,0.2666666666666667,1,1,1,1,276.5
36QZ6V1589DTI18S04BLULET5D3SU9,bible,ezra priest certain head father household father house name set apart sat first day tenth month examine matter,first day,0.11666666666666665,0,0,0,0,592.5
36BTXXLZ2V8I0OE069KYR7B3KYX4RB,bible,filled wisdom heart work kind workmanship engraver skillful workman embroiderer blue purple scarlet fine linen weaver even workmanship make skillful work,skillful work,0.125,1,1,1,1,301.5
3FI30CQHVKJ9Z41PT0RNOQQDY3Z6BK,bible,saul took three thousand chosen men israel went seek david men rock wild goat,wild goat,0.125,1,1,1,0,520.5
34F34TZU7WZRZMG0UQS1W1SEQ36J21,bible,ostrich dwell wild goat frolic,wild goat,0.22058823529411764,1,1,1,0,520.5
3SCKNODZ0XGU4D4RF01OLZQ3A3XN7P,bible,man injured foot injured hand,injured foot,0.13333333333333336,1,1,1,0,305.5
3UUSLRKAUL3LI1DEQ6NLPUE9WZWD7Y,bible,body also like beryl face appearance lightning eye flaming torch arm foot like burnished brass voice word like voice multitude,flaming torch,0.1388888888888889,1,1,1,1,233.0
35U0MRQMUJ7EXO5ZYD4H626BMV9VO4,bible,would healed babylon healed forsake let u go everyone own country judgment reach heaven lifted even sky,own country,0.14285714285714285,1,1,1,1,595.0
36818Z1KV3D5JB9F4KTTMCUN6UDA3O,bible,therefore tongue fire devours stubble dry grass sink flame root shall rottenness blossom shall go dust rejected law yahweh army despised word holy one israel,dry grass,0.15000000000000002,1,0,1,0,601.0
3WPCIUYH1A88GZAL39QMUQ6RLWMDT9,bible,brought seven bull seven ram seven lamb seven male goat sin offering kingdom sanctuary judah,male goat,0.15000000000000002,1,0,1,0,528.5
37VE3DA4YUHPWTL6PJIRLHF37HFBHQ,bible,appointed priest high place male goat calf made,male goat,0.225,1,0,1,0,528.5
3YD0MU1NC21NKUA26WWJZT63BWZ7AQ,bible,mouth adulteress deep pit yahweh wrath fall,deep pit,0.15000000000000002,1,0,1,0,517.5
3VMHWJRYHVGCV0X1ZPM97TUIA5QFX5,bible,made perfect became obey author eternal salvation,eternal salvation,0.15000000000000002,1,0,1,1,448.0
3SD15I2WD2U4W9XCE7CH67S1ABN36R,bible,seek skillful workman set engraved image moved,skillful workman,0.15000000000000002,1,1,1,1,0.0
367O8HRHKG8U13EDLYK3HHGZ60G4SZ,bible,beat gold thin plate cut wire work blue purple scarlet fine linen work skillful workman,skillful workman,0.21666666666666667,1,1,1,1,0.0
3XUSYT70IT170QDU572CAF4MOLQ0DL,bible,made work skillful workman,skillful workman,0.2777777777777778,1,1,1,1,0.0
3PA41K45VN4U7YG4VFEGPOVYAIZ7P6,bible,work skillful workman shall make,skillful workman,0.2857142857142857,1,1,1,1,0.0
3URJ6VVYUPNF3BMKEH3UXC6Y9BD4O2,bible,made breastplate work skillful workman like work ephod gold blue purple scarlet fine twined linen,skillful workman,0.3214285714285714,1,1,1,1,0.0
3HUR21WDDUPIVREW4FEXWE1YGGGXYK,bible,saying woe woe great city dressed fine linen purple scarlet decked gold precious stone pearl,precious stone,0.15000000000000002,1,0,1,1,538.5
3DQYSJDTYLBKPMX54E23PB9IY4BXE5,bible,everyone shall die iniquity every man eats sour grape teeth shall set edge,sour grape,0.15000000000000002,1,1,1,1,532.5
3BFNCI9LYKQN09BHXHH9CLSX5M737Q,bible,mean use proverb concerning land israel saying father eaten sour grape childrens teeth set edge,sour grape,0.2142857142857143,1,1,1,1,532.5
3L4YG5VW9NS1ZAEOHJQ7PMO5IAZDDR,bible,brought forth tell carry bosom nurse carry nursing infant land swore father,nursing infant,0.15000000000000002,1,1,1,1,256.5
3I7SHAD35MWOMVJR3ZMO8K135DO7MA,bible,yahweh said samuel dont look face height stature rejected see man see man look outward appearance yahweh look heart,outward appearance,0.15000000000000002,1,1,1,1,289.0
3QGHA0EA0J07TJGVKI4RMKPQM5SBWQ,bible,shall tell offering made fire shall offer yahweh male lamb year old without blemish two day day continual burnt offering,male lamb,0.16176470588235292,1,0,1,1,553.5
3TC2K6WK9G22F5KH3MVA7BJ0ASD827,bible,beginning month shall offer burnt offering yahweh two young bull one ram seven male lamb year old without blemish,male lamb,0.2333333333333333,1,0,1,1,553.5
3SZYX62S5G0QEOYLB052RIQHJIY57I,bible,shall tread high place,high place,0.16249999999999998,1,0,0,0,612.0
37S0QRNUFBGD1KM6J34BH2W3WS588A,bible,one male goat make atonement,male goat,0.16666666666666669,1,0,1,0,528.5
3UDTAB6HH6ZVX00DTRXAOJLWX0A90C,bible,shall build old waste shall raise former desolation shall repair waste city desolation many generation,many generation,0.16666666666666669,0,0,1,0,559.5
3Z56AA6EK405IV5MKPHW2617A236M9,bible,happened isaiah gone middle part city word yahweh came saying,middle part,0.16666666666666669,1,1,0,0,289.5
386659BNTLHD8VXIPEIH9D3DZON10W,bible,yahweh accomplished wrath poured fierce anger kindled fire zion devoured foundation,fierce anger,0.16666666666666669,1,1,1,1,270.5
30UZJB2POHC8D5XY9O2CE1E1EGC53D,bible,people go away midst save every man fierce anger yahweh,fierce anger,0.1923076923076923,1,1,1,1,270.5
3I6NF2WGIGW97H9M439WXV3AILH5GL,bible,heart make covenant yahweh god israel fierce anger may turn away u,fierce anger,0.2631578947368421,1,1,1,1,270.5
3B9J25CZ25DXW7RSEDQL0FSNYDXCSK,bible,jonathan arose table fierce anger ate food second day month grieved david father done shame,fierce anger,0.44318181818181823,1,1,1,1,270.5
3JUDR1D0D6R8L9KDPGCAT2404YZ2QC,bible,indeed notable miracle done plainly seen dwell jerusalem cant deny,notable miracle,0.175,1,1,1,0,210.5
35YHTYFL1G3KRBS6ZALRJ8XXUUJFV3,bible,neither cause foot israel wander land gave father observe according commanded according law servant moses commanded,servant moses,0.175,1,0,1,0,218.5
3S4TINXCC0NZOA7TTWDH5QC4J3TBOE,bible,israel saw great work yahweh egyptian people feared yahweh believed yahweh servant moses,servant moses,0.25,1,0,1,0,218.5
3PZDSVZ3J5HXLQM8D23HIN6TJ17N45,bible,forsake yahweh serve foreign god turn evil consume done good,foreign god,0.175,1,1,1,0,553.0
3J6BHNX0U9SIZSBBYUQXP4VPGNXNKV,bible,struck many nation killed mighty king,mighty king,0.18333333333333332,1,0,0,1,261.0
3KI0JD2ZU1IMXSYZGJF7JO4HFD867Y,bible,shall deliver u hand mighty god,mighty god,0.1842105263157895,1,0,0,1,283.5
34R0BODSP1ZBN3DVY8J8XSIY5525E4,bible,let another man praise own mouth stranger own lip,own lip,0.19117647058823528,1,1,1,1,583.0
3PMR2DOWOO1TV1G2927VO667SG854Y,bible,behold give ox burnt offering threshing instrument wood wheat meal offering,meal offering,0.1923076923076923,1,1,1,0,301.5
30F94FBDNRKF12C1PDZGZ0IRIBABT0,bible,tenth part ephah fine flour meal offering mixed fourth part hin beaten oil,meal offering,0.29166666666666663,1,1,1,0,301.5
3Z8UJEJOCZDRESZACEFTQHJ30CU937,bible,gave offering one silver platter weight one hundred thirty shekel one silver bowl seventy shekel shekel sanctuary full fine flour mixed oil meal offering,meal offering,0.3611111111111112,1,1,1,0,301.5
37VUR2VJ6APX2NSY1UB14E5E8DJ1CO,bible,ahaziah king judah saw fled way garden house,garden house,0.1944444444444444,1,0,1,0,583.5
3VDI8GSXAFTSUZSO21GZ9FD1KBI8GQ,bible,heard voice come heaven holy mountain,holy mountain,0.1944444444444444,1,0,1,0,287.0
3ZLW647WALVGE8EBR50EGUBPU6L32A,bible,anointed cherub cover set holy mountain god walked midst stone fire,holy mountain,0.25,1,0,1,0,287.0
3XEDXEGFX3OFEWJ4XOOZESZC8UN0KY,bible,roaring lion charging bear wicked ruler helpless people,wicked ruler,0.19642857142857145,1,0,1,1,285.5
3GKAWYFRAPTAO7HEMSH2PG5UWT1DP4,bible,turn hand grape gatherer basket,grape gatherer,0.2,1,1,1,1,266.0
3ZG552ORAM40QHGUBF6KZP38LQE2V6,bible,came pas sun went dark behold smoking furnace flaming torch passed piece,flaming torch,0.2,1,1,1,1,233.0
33TGB4G0LPHME5F2U9RYOX9J1EYXTV,bible,day make chieftain judah like pan fire among wood like flaming torch among sheaf devour surrounding people right hand left jerusalem yet dwell place even jerusalem,flaming torch,0.30000000000000004,1,1,1,1,233.0
338GLSUI43B4ZJB25FGM8LDQVQPFSY,bible,deliver soul sword precious life power dog,precious life,0.2,1,0,1,1,555.5
35YHTYFL1G3KRBS6ZALRJ8XXUUIVFI,bible,said water issue forth toward eastern region shall go arabah shall go toward sea sea shall water go made issue forth water shall healed,eastern region,0.2,1,1,1,0,255.5
33BFF6QPI1B2QOCI5PPL41REYDF3WR,bible,teach seduces servant commit sexual immorality eat thing sacrificed idol,sexual immorality,0.2,1,1,1,1,288.0
30EV7DWJTVV5CCU03S57W1OEJCHY6R,bible,king earth committed sexual immorality lived wantonly weep wail look smoke burning,sexual immorality,0.25,1,1,1,1,288.0
3DA79LNS59VAY78OAKKAHHKFUJX3T1,bible,filled unrighteousness sexual immorality wickedness covetousness malice full envy murder strife deceit evil habit secret slanderer,sexual immorality,0.2894736842105263,1,1,1,1,288.0
34O39PNDK682LNZ9LOULZLH9UQDBRN,bible,gave time repent refuse repent sexual immorality,sexual immorality,0.325,1,1,1,1,288.0
3ABAOCJ4R84YSDO6ZYVU8BIYA3FQMQ,bible,tell whoever put away wife except cause sexual immorality make adulteress whoever marries put away commits adultery,sexual immorality,0.33333333333333337,1,1,1,1,288.0
3GV1I4SEO9PLCDN1KDGH2TMIAXD6L7,bible,therefore way shall slippery place darkness shall driven fall therein bring evil even year visitation say yahweh,slippery place,0.2,1,1,1,1,306.0
3MYASTQBG7BVOJITM5WRPLV41PNDQV,bible,other god,other god,0.2,1,1,1,1,574.0
3TLFH2L6Y9OLDPC56K65Y7FNO5XT2G,bible,anyone touch unclean thing whether carcass unclean animal carcass unclean livestock carcass unclean creeping thing hidden unclean shall guilty,unclean livestock,0.2,1,1,1,1,201.5
33EEIIWHK77HI0IFDQWLV71B1WRVQC,bible,right hand yahweh valiantly,right hand,0.2023809523809524,1,0,0,0,600.0
3GV1I4SEO9PLCDN1KDGH2TMIAXDL6M,bible,david say concerning saw lord always face right hand moved,right hand,0.29166666666666663,1,0,0,0,600.0
32XN26MTXZJQY21MIO00TSCRXURL0L,bible,dont turn right hand left may good success wherever go,right hand,0.3970588235294118,1,0,0,0,600.0
3D42WVSDH8V1V5NB4L8BQ71RCBKYFU,bible,great trial eye saw sign great wonder,great wonder,0.2083333333333333,1,0,0,0,559.0
3JMQI2OLFZ5ALM516D4ALR0ZWE0DN8,bible,armor armed man noisy battle garment rolled blood burning fuel fire,noisy battle,0.21052631578947367,1,1,1,1,573.0
39XCQ6V3KY47AOKGSQ0AL4QLO7E56J,bible,honorable man lived,honorable man,0.21052631578947367,1,1,1,1,311.5
31GECDVA9JM3TSKUX9AFDA4LK2O66Z,bible,poor person shunned even neighbor rich person many friend,many friend,0.21052631578947367,1,0,0,0,601.0
3ZG552ORAM40QHGUBF6KZP38LQDV2Y,bible,struck enemy cheek bone,cheek bone,0.2115384615384616,1,1,1,1,537.0
3CKVGCS3PG5D2FWC2XX15EQMPO00SF,bible,gave offering one silver platter weight one hundred thirty shekel one silver bowl seventy shekel shekel sanctuary full fine flour mixed oil meal offering,silver bowl,0.2125,1,1,1,0,542.5
3X0EMNLXEPPWIOH0DDHWV2B1W05VPL,bible,offering firstfruits shall offer yahweh shall ascend pleasant aroma altar,pleasant aroma,0.2125,1,1,1,1,273.5
3X2LT8FDHWIORLIOH6KHVIZPEZ78WO,bible,burnt offering offering made fire pleasant aroma yahweh,pleasant aroma,0.225,1,1,1,1,273.5
3ULIZ0H1VA5C32JJMKOTQ8Z4GWY51L,bible,shall offer meal offering baked piece pleasant aroma yahweh,pleasant aroma,0.23214285714285715,1,1,1,1,273.5
39KV3A5D187RKQWWNWIAKT09X267SM,bible,nativeborn shall thing way offering offering made fire pleasant aroma yahweh,pleasant aroma,0.25,1,1,1,1,273.5
37MQ8Z1JQEWHUBBZGQT46O7237G2YF,bible,pleasant aroma accept bring people gather country scattered sanctified sight nation,pleasant aroma,0.2727272727272727,1,1,1,1,273.5
356ZPKYPUHHDMIC5IO4G21FVEH7PYO,bible,brought bed basin earthen vessel wheat barley meal parched grain bean lentil roasted grain,roasted grain,0.2142857142857143,1,1,1,1,0.0
3XQ4XW3OD9CKYPZQHK1FO2J1MMK2S1,bible,happened next day moses went tent testimony behold rod aaron house levi budded put forth bud produced blossom bore ripe almond,ripe almond,0.21666666666666667,1,1,1,1,267.0
3UUSLRKAUL3LI1DEQ6NLPUE9WZW7DS,bible,border benjamin east side west side simeon one portion,west side,0.21666666666666667,1,0,1,0,564.5
3E22YV8GG16JAJ8RBMV5LLHOAX3NPW,bible,god made two great light greater light rule day lesser light rule night,great light,0.2222222222222222,1,0,0,0,581.5
3P888QFVX3UMSG9ICEA70F7353UQO5,bible,surely one men evil generation shall see good land swore give father,evil generation,0.2222222222222222,1,0,1,0,529.0
3ZUE82NE0A1MGZWTRHAHRUDPJWI8FR,bible,built tower wilderness dug many cistern much livestock lowland also plain farmer vineyard keeper mountain fruitful field loved farming,fruitful field,0.2222222222222222,1,1,1,1,0.0
35A1YQPVFEGN38FHUR9ZI7GQXY9I5Q,bible,wicked messenger fall trouble trustworthy envoy gain healing,wicked messenger,0.22368421052631576,1,0,1,1,245.5
324N5FAHSXBV7XKK0LCOZLP22QZKV9,bible,saul said whose son young man,young man,0.22368421052631576,1,0,0,0,616.0
3AJA9FLWSCYF558603M84J73MSMIF8,bible,dont like father former prophet proclaimed saying thus say yahweh army return evil way evil doings hear listen say yahweh,evil doings,0.22368421052631576,1,0,1,1,269.0
39XCQ6V3KY47AOKGSQ0AL4QLO7D65J,bible,make joyful shout god earth,joyful shout,0.22368421052631576,1,1,1,1,547.5
3M47JKRKCX1QX63IQO7DXO0CQXE68L,bible,commanding officer answered bought citizenship great price,commanding officer,0.225,1,1,1,1,274.5
3CO05SML7V5110WZN8XWF4LQ3MH0RR,bible,kill utterly old man young man virgin little child woman dont come near man mark begin sanctuary,little child,0.225,1,0,0,0,601.0
3VP28W7DUNK10VXG07AU4EATI5PFZ3,bible,tenth part fine flour mixed oil meal offering every lamb burnt offering pleasant aroma offering made fire yahweh,burnt offering,0.225,1,0,1,0,0.0
3LOJFQ4BOXF9DGKY90CUTZJV2JWDK4,bible,shall flay burnt offering cut piece,burnt offering,0.3611111111111112,1,0,1,0,0.0
3I6NF2WGIGW97H9M439WXV3AILHG5W,bible,priest shall burn whole altar burnt offering offering made fire pleasant aroma yahweh,burnt offering,0.3888888888888888,1,0,1,0,0.0
302OLP89DZ7TWB5YXD4UFFYHC7QACM,bible,washed innards leg burned burnt offering altar,burnt offering,0.4027777777777778,1,0,1,0,0.0
